File,Species,Chroma_Mean,Spectral_Centroid,Spectral_Bandwidth,Spectral_Contrast,Spectral_Flatness,Zero_Crossing_Rate,RMS_Energy,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
Greater_Prairie_Chicken_10_segment.wav,chicken,0.5700173,683.4280991917398,1748.0994925804623,"[20.32852708363133, 14.154248690514818, 20.00745002357849, 16.53122064290591, 17.50241778828993, 17.575556221852484, 26.1474907344432]",1.143309e-05,0.010249221248667378,0.034207553,-530.2229,95.607155,26.67054,29.955278,42.626556,40.46516,23.771309,11.518492,7.361586,1.6942831,-0.32905993,-0.99542004,-2.252847
Greater_Prairie_Chicken_11_segment.wav,chicken,0.50732714,721.6746994274529,1790.6265707442683,"[17.577150280531203, 13.541448329524158, 21.736556678593235, 17.645363601849013, 20.220378358115703, 17.398708027849835, 25.019277776116116]",2.1046399e-05,0.008931694762793176,0.023438688,-534.8179,103.597046,33.0743,33.34004,40.848503,36.53061,23.886421,8.942306,0.4484171,-2.8497765,-4.949741,-8.160968,-8.046435
Greater_Prairie_Chicken_12_segment.wav,chicken,0.3938748,605.89454583374,1450.062196367138,"[18.647344955957795, 13.997757532454212, 22.556230274814165, 18.67070445784585, 21.522822177777172, 19.198448637681025, 19.536656159463544]",1.10021265e-05,0.010290865704957356,0.018541759,-533.47974,96.17878,43.15826,34.934673,37.89847,29.362001,19.308472,9.079235,-0.26432204,-5.0116677,-9.051692,-13.477258,-12.386745
Greater_Prairie_Chicken_13_segment.wav,chicken,0.26300377,2246.1199801753187,2664.7817351570957,"[12.7477454458109, 18.57180810810025, 17.09415513153479, 18.148571126743647, 22.576780786992465, 18.69084950828384, 32.972499506291214]",0.00016961586,0.0516125774586887,0.037136964,-369.40344,137.64128,-38.173676,-14.513123,10.115784,27.115028,-1.4883305,-7.3997073,-11.328897,2.4345698,-5.748783,-10.033354,-4.5875225
Greater_Prairie_Chicken_14_segment.wav,chicken,0.25727236,446.3699731695822,737.17806648604,"[12.221893429022208, 20.480313897722283, 14.727863156690393, 19.12937391560812, 21.35650382721067, 21.72095427118856, 13.79824436381514]",7.859091e-06,0.01332102045575693,0.06373011,-446.1899,120.815315,74.16543,26.992138,-2.6851945,-13.351248,-13.952224,-12.98946,-13.44843,-14.840907,-16.653276,-18.50626,-19.34861
Greater_Prairie_Chicken_15_segment.wav,chicken,0.2586992,1502.5045206859083,2054.4133422929813,"[8.835244733177447, 19.280125503700578, 13.738922732224918, 14.698567067238788, 18.83340454010935, 21.322345834120267, 32.148500246439056]",4.1119118e-05,0.02536095332489339,0.059422385,-372.4608,140.49794,-1.7736607,28.081606,20.832666,-9.976177,6.7513323,-3.4076705,-19.431286,-7.4935327,-8.645966,-18.553171,-13.489563
Greater_Prairie_Chicken_16_segment.wav,chicken,0.27229545,1704.126042115323,2043.0350114616592,"[10.928227624482197, 22.153237901039564, 13.231486932832263, 13.996979020858893, 19.645695839029642, 20.51230457657903, 32.32894866647843]",2.7281072e-05,0.028259407482675906,0.04909058,-374.254,119.37942,-28.001741,4.7994857,18.521828,-5.787346,2.420148,-10.676388,-25.758741,-13.586911,-14.5782995,-24.183098,-21.725687
Greater_Prairie_Chicken_17_segment.wav,chicken,0.26299798,1673.6605163806869,1988.9508784185214,"[9.888220226987212, 21.740192477140894, 13.552062788095194, 14.12444389896254, 19.639427695350054, 20.678203471033974, 32.843047388233416]",1.9168692e-05,0.0290506521521855,0.055728685,-373.4583,138.03754,-38.727737,16.506618,26.319927,-2.8627193,-0.172638,-13.633191,-18.921288,-13.028637,-14.712716,-20.78391,-22.398333
Greater_Prairie_Chicken_18_segment.wav,chicken,0.2820852,1749.9901156239928,1983.9790796422794,"[9.774776121410717, 20.990618116210168, 13.281294694553818, 15.652396166401962, 19.7403101306306, 19.273914765690986, 32.36367203564569]",4.8294576e-05,0.0340807819163113,0.039902795,-374.38242,137.72188,-41.036594,1.8692003,18.817877,1.9399927,3.8230305,-14.703271,-21.511461,-12.274496,-12.880999,-20.14349,-19.70564
Greater_Prairie_Chicken_19_segment.wav,chicken,0.2652957,1342.429395691939,3021.0697301244863,"[21.43365578373488, 19.8339279084379, 14.494310705236328, 12.664031106866217, 12.615070269024013, 17.978391722159913, 30.03745943696976]",2.5601772e-05,0.012332217046113689,0.029153444,-493.9628,89.26374,40.009724,58.745804,20.55249,20.014103,12.272212,15.2972,-5.457653,1.3297704,-4.879184,-9.007972,-8.848037
Greater_Prairie_Chicken_1_segment.wav,chicken,0.26256007,1463.670726093672,2423.5491697268644,"[12.933285209281154, 20.120403163611645, 16.283778903089786, 16.66003199592287, 16.619791441104496, 18.414593839871053, 35.0975407475154]",9.16267e-05,0.022699413609338748,0.13718516,-298.25784,141.09763,-0.72606176,31.230827,20.311008,11.115015,8.517244,-0.84067976,-4.763177,-1.9603636,-5.919611,-7.101146,-17.893744
Greater_Prairie_Chicken_20_segment.wav,chicken,0.26969913,707.0098476733625,2162.224978586443,"[23.671866379200075, 20.02272553732369, 16.88501458444139, 13.678069146126582, 14.019918364698803, 18.189484358183183, 29.38930640557002]",8.148982e-06,0.009074554089327147,0.052440684,-491.1943,104.69207,55.488842,65.679794,31.228785,21.739313,14.061925,8.308194,-8.319057,-1.7352474,-7.1864715,-15.009285,-13.1280985
Greater_Prairie_Chicken_2_segment.wav,chicken,0.33526185,1501.1113082897614,2204.859628609312,"[20.628780431107714, 11.94898754454683, 16.668463897062445, 15.550179179274618, 20.529214823597023, 22.220260158746544, 25.316803297985945]",0.00011804477,0.03601048190964819,0.019286064,-487.17993,125.54281,12.77252,4.998291,21.082891,8.256968,-3.8214834,-7.2318997,-11.633594,-15.358831,-18.974442,-22.885473,-21.465668
Greater_Prairie_Chicken_3_segment.wav,chicken,0.26233274,1411.257686988117,2350.5628274468695,"[15.476126624867673, 19.575853969492158, 15.899698015913557, 17.423747119046183, 18.115179960381752, 16.453914880833516, 32.61373772074141]",4.553296e-05,0.018653072527985076,0.07372285,-377.42963,96.51188,27.266804,10.192259,-0.97177994,-5.638591,-8.80755,-11.207058,-14.998757,-16.25598,-15.835335,-21.113514,-23.0472
Greater_Prairie_Chicken_4_segment.wav,chicken,0.26982793,2057.939087387688,2612.693007710247,"[13.563245791051, 16.988469828359097, 16.43801821482313, 17.741075760871155, 20.389905543309055, 17.51599447240728, 29.11224043524479]",0.00065559224,0.04029153201625799,0.026186401,-460.4535,91.356224,10.926228,-5.859343,-8.998867,-9.543477,-4.2488356,-9.841403,-19.451704,-16.29343,-14.120625,-18.287182,-15.59434
Greater_Prairie_Chicken_5_segment.wav,chicken,0.33375236,2316.8289357075787,3133.510518940774,"[16.54261742650306, 13.009527728529424, 11.805961005490408, 15.192047236462471, 18.87537333447726, 18.997810008213506, 31.839683986738034]",0.00029138557,0.03757735457755863,0.020804781,-432.35486,112.23205,11.938515,44.27232,19.554945,-3.8498414,-6.399554,-3.5830956,-9.36675,-13.375886,-8.098198,-12.802804,-13.040441
Greater_Prairie_Chicken_6_segment.wav,chicken,0.28218514,1060.5269244531669,1613.2452050634474,"[11.733999991744298, 18.851237152303707, 21.784897339393584, 18.85477260555326, 22.417540667754157, 21.21057209154276, 27.1684076179838]",1.2701072e-05,0.02357596781716418,0.028448222,-476.93344,131.50601,15.445279,27.541553,43.38396,28.670996,24.97794,14.842544,-3.7474823,-6.9332495,-7.637133,-19.76103,-23.065472
Greater_Prairie_Chicken_7_segment.wav,chicken,0.33873674,1000.6768915525394,1965.59769396346,"[12.370618526195182, 18.3342511760343, 18.478519072738372, 16.55649513820526, 18.711835039601244, 18.59644431867663, 26.442955956513792]",4.599202e-05,0.014632300273187633,0.024660582,-516.17,107.60029,24.466133,39.50204,44.355865,29.484297,27.232264,18.18262,0.43845835,-2.390273,-3.6308928,-10.351351,-10.543935
Greater_Prairie_Chicken_8_segment.wav,chicken,0.26997682,855.5967210945254,1658.6086145976788,"[12.914486018287903, 21.057424174800197, 22.312654904564038, 18.73213878467975, 20.18652866038048, 19.44716956182734, 21.495731621762992]",1.9506188e-05,0.016671316964285716,0.013575031,-589.72003,126.579575,27.04967,38.512127,41.74788,26.080915,21.345345,9.762123,-7.366847,-12.4009695,-9.41294,-16.833855,-20.117945
Greater_Prairie_Chicken_9_segment.wav,chicken,0.45451224,647.2772038540021,2059.776989792009,"[20.788118368883797, 16.652961156054975, 20.84770408290252, 17.328311855892366, 19.498985525354314, 15.441589482158465, 27.509059725324875]",9.683618e-06,0.007433014892057569,0.042337675,-529.6959,109.26321,59.385063,36.636635,38.68282,34.399395,18.798574,8.377738,3.1213453,3.453656,-4.004234,-10.597614,-14.103076
Greater_Flamingo_10_segment.wav,flamingo,0.5211914,1300.5828462080801,1470.4088462509537,"[10.272672241756428, 9.071397528164752, 11.810636593482132, 16.63631989877075, 16.32999156210052, 25.14483734072922, 26.43603627614615]",2.2823795e-05,0.03879230260295824,0.02798807,-375.99832,207.29198,-36.641575,-15.437826,34.35855,4.775908,4.7002106,27.181463,22.398003,7.924154,6.499293,5.3581314,1.57323
Greater_Flamingo_11_segment.wav,flamingo,0.3549079,2187.276318785357,2280.4062747263683,"[9.47193597099904, 8.720291658676434, 14.007189622047164, 15.865494730498156, 20.054644360744568, 23.81622928400615, 27.45650081803656]",0.00045167087,0.07342118619489559,0.016640518,-404.04,162.79138,-72.77415,-43.1086,-19.406988,-19.404379,-40.38847,3.536895,-11.632765,0.01804104,-7.0547023,-6.6456733,-8.412742
Greater_Flamingo_12_segment.wav,flamingo,0.5065401,2790.2655411915066,2402.5540704255445,"[13.43238124497057, 7.929318729588842, 11.560120038516349, 12.863097173959183, 14.932832517308368, 19.293427096973694, 32.39362000060284]",0.000910125,0.09206537304234338,0.0114679625,-375.2186,152.46014,-102.67651,10.717291,-28.035664,-0.92209435,-28.207512,7.806107,-9.378424,-0.11034473,-11.192893,-1.3211384,0.37924078
Greater_Flamingo_13_segment.wav,flamingo,0.4435186,2306.1673332292235,2595.230084734797,"[11.013706996737207, 8.127530265890133, 13.157923195346044, 16.242424997889234, 15.940237035390615, 19.245339618713277, 33.245918545792634]",0.00055922667,0.06186784005220418,0.024665482,-317.1318,169.68698,-54.889282,19.752388,-12.353364,0.90848166,-2.7540672,19.82751,-5.9154816,9.527408,-7.495254,-5.3790445,-3.7506108
Greater_Flamingo_14_segment.wav,flamingo,0.4177427,3020.633016495905,2794.3226663106484,"[16.84154029951259, 9.066821233354952, 11.543575304479935, 14.708831759131431, 16.18070571888373, 21.674067641433982, 26.58161744499675]",0.0021515049,0.09733677131670533,0.004572936,-485.4603,109.858795,-118.484375,-35.61402,-31.24081,-4.633645,-35.755215,9.687097,-22.11865,1.933552,-14.1385975,-7.1850634,-17.306433
Greater_Flamingo_15_segment.wav,flamingo,0.42346665,2456.60846175366,2262.4755867829367,"[13.754048859250952, 10.667225874852408, 12.963240434828293, 14.546453538710884, 18.162315674404102, 17.033168041105892, 31.698108197833566]",0.00048187777,0.06471496451892324,0.011583364,-463.07755,127.21233,-90.183975,-40.14554,-55.390366,-39.162247,-17.82259,-21.208618,0.7783997,-11.589763,-9.903715,-5.2844653,-10.57538
Greater_Flamingo_16_segment.wav,flamingo,0.5341046,2887.9767232132203,2686.8004321258854,"[8.711138232065776, 9.091190049359053, 11.087550461781472, 13.315793268713804, 17.59973479567118, 16.19662217088497, 30.824519365319972]",0.0019141524,0.09373073943896588,0.0049397284,-470.22455,159.43138,-78.72242,23.0696,-29.70063,0.18520774,-5.627861,4.314003,-6.5651855,-10.060216,-1.1231618,-3.4009109,10.124664
Greater_Flamingo_17_segment.wav,flamingo,0.39072922,2563.4944855740864,2327.2383480933695,"[13.853381201692585, 8.545434834724729, 16.223165613182076, 14.662311050656077, 15.843558034987016, 23.43133097808796, 29.879558631274048]",0.00067151437,0.08194288355568445,0.016253766,-376.8551,156.08934,-83.70394,-9.161106,-10.95296,-21.733183,-18.586264,24.39119,-1.7816255,-4.1850996,-5.8049955,7.282173,5.7148046
Greater_Flamingo_18_segment.wav,flamingo,0.35971367,2234.437840152936,2510.479480017231,"[13.781247226805322, 8.241099120762607, 16.01960293313554, 17.7072708180953, 16.882932869468785, 24.93635140628649, 27.81404271917943]",0.0006845754,0.06174468064859927,0.012208824,-410.7362,171.79115,-56.83544,-15.132789,-14.908068,-11.929388,-32.357174,24.6893,0.15169905,8.944196,-1.349968,3.68454,-9.046644
Greater_Flamingo_19_segment.wav,flamingo,0.42647484,1345.3883284282094,1870.9187750944066,"[13.477823717825089, 9.62712854484679, 12.817988742789218, 18.746144498918156, 18.206882509577106, 22.59613729366087, 27.51520748076267]",7.843019e-05,0.03756027044663573,0.03153441,-380.24014,193.69049,-6.6973505,-14.144189,15.715761,10.398154,4.8108506,21.373537,18.613436,-0.04651573,-4.035157,-3.448696,-7.63599
Greater_Flamingo_1_segment.wav,flamingo,0.4327712,2984.2984033310204,2772.019138223886,"[11.0397894721796, 8.496401796403429, 11.404965753464792, 15.380231546405623, 15.634342442340925, 18.1147965650362, 32.38623539202714]",0.0017039366,0.09517519214037123,0.011893943,-369.06064,131.16641,-92.33706,-3.2693348,-24.025055,2.6084018,-22.108484,10.287037,-20.18306,0.196921,-18.936462,-6.0546885,-10.27932
Greater_Flamingo_20_segment.wav,flamingo,0.4929959,1745.2670439155713,2421.5708616967586,"[14.828540040429147, 8.725308235590292, 12.044035021526927, 14.394625360328865, 18.91549738979461, 18.727694580473287, 28.564732900749114]",0.0003030509,0.04257567679317549,0.019761145,-372.03757,189.70424,-16.538616,-19.429855,-5.8098974,12.089909,4.3034306,12.73891,-6.92719,6.012857,0.47757545,-3.8714066,-2.473719
Greater_Flamingo_3_segment.wav,flamingo,0.57409364,1978.1366848947553,2799.382329642487,"[15.369930484561989, 9.959575041639068, 13.290269966952698, 14.828437060924939, 15.416532963650553, 17.34241246983615, 30.877615716114512]",0.00030139892,0.03155645029727378,0.019731993,-397.08405,157.36118,-20.655529,27.517614,3.2296202,11.918449,-0.08290104,11.613418,0.54114395,4.7752733,-2.812272,1.4820123,5.1323752
Greater_Flamingo_4_segment.wav,flamingo,0.5602956,3703.8379725129394,3846.953098647396,"[10.089655701710788, 7.864818165720144, 11.887942090647268, 14.912491804190854, 14.332058074180557, 15.363319847547439, 35.01862674868844]",0.004660716,0.09674709523636892,0.012675028,-359.4552,118.368484,-26.850739,29.75969,-20.977875,12.881782,-9.012746,13.21033,-3.206834,9.397357,-7.1694646,7.4241495,-2.6653795
Greater_Flamingo_5_segment.wav,flamingo,0.5022342,1820.8453530788745,2236.4073359984163,"[12.359154288581456, 8.93536486062212, 13.063846418054755, 16.491753787008626, 17.08058536181378, 17.215994255816547, 30.198293217478284]",0.00020586123,0.043714766712587005,0.022881975,-404.90958,156.65544,-22.431644,13.208487,3.5615683,-10.6657,12.199575,12.552286,7.263784,4.060917,-9.94202,-11.275705,-3.4707425
